order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
24,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$25/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$25/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-24,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n24,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
25,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$26/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$26/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-25,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n25,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
26,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$27/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$27/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-26,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n26,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
27,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$28/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$28/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-27,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n27,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
28,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$29/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$29/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-28,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n28,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
29,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$30/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$30/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-29,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n29,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
30,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$31/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$31/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-30,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n30,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
31,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$32/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$32/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-31,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n31,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
32,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$33/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$33/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-32,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n32,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
33,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$34/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$34/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-33,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n33,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
