order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1163,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1164/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1164/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1163,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1163,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1164,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1165/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1165/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1164,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1164,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1165,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1166/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1166/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1165,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1165,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1166,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1167/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1167/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1166,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1166,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1167,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1168/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1168/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1167,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1167,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1168,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1169/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1169/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1168,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1168,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1169,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1170/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1170/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1169,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1169,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1170,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1171/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1171/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1170,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1170,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1171,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1172/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1172/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1171,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1171,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1172,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1173/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1173/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1172,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1172,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
